pre_pt_root_id,pre_pt_root_id
648518346490237788,648518346490237788
648518346488497848,648518346488497848
648518346514066987,648518346514066987
648518346464944245,648518346464944245
648518346480277462,648518346480277462
648518346514055467,648518346514055467
648518346507153439,648518346507153439
648518346486605564,648518346486605564
648518346511814079,648518346511814079
648518346484040743,648518346484040743
648518346479704564,648518346479704564
648518346501200472,648518346501200472
648518346464968565,648518346464968565
648518346476796176,648518346476796176
648518346494517667,648518346494517667
648518346494725795,648518346494725795
648518346486585497,648518346486585497
648518346493807758,648518346493807758
648518346493971447,648518346493971447
648518346494690226,648518346494690226
648518346490530045,648518346490530045
648518346497841818,648518346497841818
648518346500936470,648518346500936470
648518346478550356,648518346478550356
648518346512484766,648518346512484766
648518346514245319,648518346514245319
648518346480662237,648518346480662237
648518346475377844,648518346475377844
648518346490497277,648518346490497277
648518346465118069,648518346465118069
648518346494085623,648518346494085623
648518346518221398,648518346518221398
648518346531141146,648518346531141146
648518346491529233,648518346491529233
648518346499232094,648518346499232094
648518346503852640,648518346503852640
648518346482759845,648518346482759845
648518346472166962,648518346472166962
648518346509044090,648518346509044090
648518346472925284,648518346472925284
648518346486485473,648518346486485473
648518346479177404,648518346479177404
648518346477884653,648518346477884653
648518346486153120,648518346486153120
648518346509679817,648518346509679817
648518346494232199,648518346494232199
648518346502337703,648518346502337703
648518346489661235,648518346489661235
648518346486066345,648518346486066345
648518346493614840,648518346493614840
648518346515464698,648518346515464698
648518346510931842,648518346510931842
648518346502743795,648518346502743795
648518346494753714,648518346494753714
648518346475224417,648518346475224417
648518346486606307,648518346486606307
648518346490877304,648518346490877304
648518346486606076,648518346486606076
648518346487876688,648518346487876688
648518346491437630,648518346491437630
648518346474343362,648518346474343362
648518346478552916,648518346478552916
648518346482749605,648518346482749605
648518346513738009,648518346513738009
648518346476812560,648518346476812560
648518346531192602,648518346531192602
648518346472924004,648518346472924004
648518346493801102,648518346493801102
648518346488660573,648518346488660573
648518346488631118,648518346488631118
648518346487301267,648518346487301267
648518346481386127,648518346481386127
648518346511860778,648518346511860778
648518346484550813,648518346484550813
648518346477660380,648518346477660380
648518346488944617,648518346488944617
648518346488958698,648518346488958698
648518346504289260,648518346504289260
648518346501184344,648518346501184344
648518346489184345,648518346489184345
648518346489421164,648518346489421164
648518346513149265,648518346513149265
648518346493874745,648518346493874745
648518346509606714,648518346509606714
648518346494481207,648518346494481207
648518346495891302,648518346495891302
648518346494700533,648518346494700533
648518346486548145,648518346486548145
648518346489538265,648518346489538265
648518346514066398,648518346514066398
648518346497737063,648518346497737063
648518346481211535,648518346481211535
648518346523995653,648518346523995653
648518346494647723,648518346494647723
648518346490293224,648518346490293224
648518346480794333,648518346480794333
648518346501096589,648518346501096589
648518346506681634,648518346506681634
648518346485818820,648518346485818820
648518346489850586,648518346489850586
648518346515094343,648518346515094343
648518346513692202,648518346513692202
648518346490220636,648518346490220636
648518346475804837,648518346475804837
648518346517262660,648518346517262660
648518346476900808,648518346476900808
648518346487376810,648518346487376810
648518346475161765,648518346475161765
648518346489947675,648518346489947675
648518346513124433,648518346513124433
648518346490713408,648518346490713408
648518346492499897,648518346492499897
648518346484026151,648518346484026151
648518346477614862,648518346477614862
648518346511116418,648518346511116418
648518346514065118,648518346514065118
648518346479774870,648518346479774870
648518346492105004,648518346492105004
648518346503086715,648518346503086715
648518346486288032,648518346486288032
648518346488285423,648518346488285423
648518346500484019,648518346500484019
648518346502391366,648518346502391366
648518346481000282,648518346481000282
648518346481374607,648518346481374607
648518346495304630,648518346495304630
648518346480213926,648518346480213926
648518346490115793,648518346490115793
648518346505350558,648518346505350558
648518346480874720,648518346480874720
648518346490534909,648518346490534909
648518346495342518,648518346495342518
648518346486532740,648518346486532740
648518346487433875,648518346487433875
648518346499735180,648518346499735180
648518346486532785,648518346486532785
648518346483280204,648518346483280204
648518346517263914,648518346517263914
648518346500829289,648518346500829289
648518346481370511,648518346481370511
648518346488758877,648518346488758877
648518346486090850,648518346486090850
648518346477529870,648518346477529870
